county_id,County Name,State Name,Total,Margin of Error (+/-),Origin County Name,Origin State Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
'01003',Baldwin County,Alabama,-14,26,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01015',Calhoun County,Alabama,15,69,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01031',Coffee County,Alabama,5,10,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01049',DeKalb County,Alabama,-60,107,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01055',Etowah County,Alabama,-35,55,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01063',Greene County,Alabama,-9,15,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01069',Houston County,Alabama,-26,22,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01073',Jefferson County,Alabama,-53,60,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01089',Madison County,Alabama,1,38,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01095',Marshall County,Alabama,-36,32,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01097',Mobile County,Alabama,114,109,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01099',Monroe County,Alabama,-8,15,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01101',Montgomery County,Alabama,0,93,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01117',Shelby County,Alabama,-49,55,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01121',Talladega County,Alabama,-1,2,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'01125',Tuscaloosa County,Alabama,-1,52,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'02020',Anchorage Municipality,Alaska,30,60,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'02090',Fairbanks North Star Borough,Alaska,-45,61,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'02105',Hoonah-Angoon Census Area,Alaska,-5,10,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'02130',Ketchikan Gateway Borough,Alaska,7,15,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'02150',Kodiak Island Borough,Alaska,-27,30,Miami-Dade,Florida,,,,,,,,,,,,,,,,
'02170',Matanuska-Susitna Borough,Alaska,-12,18,Miami-Dade,Florida,,,,,,,,,,,,,,,,
