county_id,County Name,State Name,Total,Margin of Error,Origin County Name,Origin State Name
'12001',Alachua County,Florida,-940,420,Broward,Florida
'12003',Baker County,Florida,-24,32,Broward,Florida
'12005',Bay County,Florida,-56,431,Broward,Florida
'12007',Bradford County,Florida,-34,37,Broward,Florida
'12009',Brevard County,Florida,1801,1770,Broward,Florida
'12013',Calhoun County,Florida,-22,36,Broward,Florida
'12015',Charlotte County,Florida,-377,658,Broward,Florida
'12017',Citrus County,Florida,-102,109,Broward,Florida
'12019',Clay County,Florida,-729,439,Broward,Florida
'12021',Collier County,Florida,-1176,611,Broward,Florida
'12023',Columbia County,Florida,-92,92,Broward,Florida
'12027',DeSoto County,Florida,10,54,Broward,Florida
'12029',Dixie County,Florida,-3,5,Broward,Florida
'12031',Duval County,Florida,-490,555,Broward,Florida
'12033',Escambia County,Florida,-275,208,Broward,Florida
'12035',Flagler County,Florida,12,122,Broward,Florida
'12037',Franklin County,Florida,2,38,Broward,Florida
'12039',Gadsden County,Florida,-29,46,Broward,Florida
'12041',Gilchrist County,Florida,-86,67,Broward,Florida
'12043',Glades County,Florida,-12,66,Broward,Florida
'12045',Gulf County,Florida,-13,15,Broward,Florida
'12047',Hamilton County,Florida,-27,31,Broward,Florida
'12049',Hardee County,Florida,-18,28,Broward,Florida
'12051',Hendry County,Florida,47,49,Broward,Florida
'12053',Hernando County,Florida,-153,112,Broward,Florida
'12055',Highlands County,Florida,-129,228,Broward,Florida
'12057',Hillsborough County,Florida,-1306,663,Broward,Florida
'12059',Holmes County,Florida,15,23,Broward,Florida
'12061',Indian River County,Florida,-321,354,Broward,Florida
'12063',Jackson County,Florida,-37,57,Broward,Florida
'12067',Lafayette County,Florida,-21,24,Broward,Florida
'12069',Lake County,Florida,-574,448,Broward,Florida
'12071',Lee County,Florida,-685,737,Broward,Florida
'12073',Leon County,Florida,-647,435,Broward,Florida
'12075',Levy County,Florida,-14,12,Broward,Florida
'12077',Liberty County,Florida,-13,19,Broward,Florida
'12079',Madison County,Florida,-34,31,Broward,Florida
'12081',Manatee County,Florida,43,247,Broward,Florida
'12083',Marion County,Florida,-443,286,Broward,Florida
'12085',Martin County,Florida,-134,197,Broward,Florida
'12086',Miami-Dade County,Florida,13479,2722,Broward,Florida
'12087',Monroe County,Florida,368,445,Broward,Florida
'12089',Nassau County,Florida,-49,50,Broward,Florida
'12091',Okaloosa County,Florida,-38,31,Broward,Florida
'12093',Okeechobee County,Florida,-58,48,Broward,Florida
'12095',Orange County,Florida,-2236,1054,Broward,Florida
'12097',Osceola County,Florida,-112,280,Broward,Florida
'12099',Palm Beach County,Florida,-6569,1758,Broward,Florida
'12101',Pasco County,Florida,-57,172,Broward,Florida
'12103',Pinellas County,Florida,16,429,Broward,Florida
'12105',Polk County,Florida,-166,277,Broward,Florida
'12107',Putnam County,Florida,-48,83,Broward,Florida
'12109',St. Johns County,Florida,-280,290,Broward,Florida
'12111',St. Lucie County,Florida,-960,621,Broward,Florida
'12113',Santa Rosa County,Florida,-15,57,Broward,Florida
'12115',Sarasota County,Florida,-225,350,Broward,Florida
'12117',Seminole County,Florida,-416,416,Broward,Florida
'12119',Sumter County,Florida,-84,138,Broward,Florida
'12121',Suwannee County,Florida,-161,109,Broward,Florida
'12123',Taylor County,Florida,-84,62,Broward,Florida
'12125',Union County,Florida,-14,30,Broward,Florida
'12127',Volusia County,Florida,-310,308,Broward,Florida
'12129',Wakulla County,Florida,-12,17,Broward,Florida
'12131',Walton County,Florida,1,29,Broward,Florida
'12133',Washington County,Florida,30,34,Broward,Florida
