county_id,County Name,State Name,Total,Margin of Error (+/-),Origin County Name,Origin State Name
12001,Alachua County,Florida,-822,600,Miami-Dade,Florida
12003,Baker County,Florida,-129,120,Miami-Dade,Florida
12005,Bay County,Florida,17,62,Miami-Dade,Florida
12007,Bradford County,Florida,-18,19,Miami-Dade,Florida
12009,Brevard County,Florida,-170,218,Miami-Dade,Florida
12011,Broward County,Florida,-13479,2722,Miami-Dade,Florida
12013,Calhoun County,Florida,-8,32,Miami-Dade,Florida
12015,Charlotte County,Florida,-41,116,Miami-Dade,Florida
12017,Citrus County,Florida,13,119,Miami-Dade,Florida
12019,Clay County,Florida,-996,1050,Miami-Dade,Florida
12021,Collier County,Florida,167,423,Miami-Dade,Florida
12023,Columbia County,Florida,-273,127,Miami-Dade,Florida
12027,DeSoto County,Florida,-41,71,Miami-Dade,Florida
12029,Dixie County,Florida,-18,17,Miami-Dade,Florida
12031,Duval County,Florida,296,463,Miami-Dade,Florida
12033,Escambia County,Florida,-149,105,Miami-Dade,Florida
12035,Flagler County,Florida,-42,186,Miami-Dade,Florida
12037,Franklin County,Florida,4,31,Miami-Dade,Florida
12039,Gadsden County,Florida,0,39,Miami-Dade,Florida
12041,Gilchrist County,Florida,-16,22,Miami-Dade,Florida
12043,Glades County,Florida,-212,159,Miami-Dade,Florida
12045,Gulf County,Florida,14,48,Miami-Dade,Florida
12047,Hamilton County,Florida,-23,48,Miami-Dade,Florida
12049,Hardee County,Florida,8,36,Miami-Dade,Florida
12051,Hendry County,Florida,-113,115,Miami-Dade,Florida
12053,Hernando County,Florida,-56,124,Miami-Dade,Florida
12055,Highlands County,Florida,190,226,Miami-Dade,Florida
12057,Hillsborough County,Florida,-1958,1047,Miami-Dade,Florida
12061,Indian River County,Florida,61,98,Miami-Dade,Florida
12063,Jackson County,Florida,10,56,Miami-Dade,Florida
12065,Jefferson County,Florida,-11,28,Miami-Dade,Florida
12067,Lafayette County,Florida,-10,14,Miami-Dade,Florida
12069,Lake County,Florida,-239,349,Miami-Dade,Florida
12071,Lee County,Florida,-711,619,Miami-Dade,Florida
12073,Leon County,Florida,-1022,526,Miami-Dade,Florida
12075,Levy County,Florida,28,43,Miami-Dade,Florida
12077,Liberty County,Florida,-7,36,Miami-Dade,Florida
12079,Madison County,Florida,41,164,Miami-Dade,Florida
12081,Manatee County,Florida,-491,600,Miami-Dade,Florida
12083,Marion County,Florida,230,314,Miami-Dade,Florida
12085,Martin County,Florida,488,226,Miami-Dade,Florida
12087,Monroe County,Florida,34,420,Miami-Dade,Florida
12089,Nassau County,Florida,-436,216,Miami-Dade,Florida
12091,Okaloosa County,Florida,-1194,412,Miami-Dade,Florida
12093,Okeechobee County,Florida,2,68,Miami-Dade,Florida
12095,Orange County,Florida,-4610,1062,Miami-Dade,Florida
12097,Osceola County,Florida,-343,545,Miami-Dade,Florida
12099,Palm Beach County,Florida,-2792,928,Miami-Dade,Florida
12101,Pasco County,Florida,-78,68,Miami-Dade,Florida
12103,Pinellas County,Florida,-423,202,Miami-Dade,Florida
12105,Polk County,Florida,-532,533,Miami-Dade,Florida
12107,Putnam County,Florida,-25,61,Miami-Dade,Florida
12109,St. Johns County,Florida,194,181,Miami-Dade,Florida
12111,St. Lucie County,Florida,-1167,702,Miami-Dade,Florida
12113,Santa Rosa County,Florida,-214,246,Miami-Dade,Florida
12115,Sarasota County,Florida,82,239,Miami-Dade,Florida
12117,Seminole County,Florida,-369,288,Miami-Dade,Florida
12119,Sumter County,Florida,-90,141,Miami-Dade,Florida
12121,Suwannee County,Florida,-5,40,Miami-Dade,Florida
12123,Taylor County,Florida,-87,59,Miami-Dade,Florida
12125,Union County,Florida,-28,75,Miami-Dade,Florida
12127,Volusia County,Florida,-435,323,Miami-Dade,Florida
12129,Wakulla County,Florida,107,75,Miami-Dade,Florida
12133,Washington County,Florida,1,42,Miami-Dade,Florida
12001,Alachua County,Florida,-940,420,Broward,Florida
12003,Baker County,Florida,-24,32,Broward,Florida
12005,Bay County,Florida,-56,431,Broward,Florida
12007,Bradford County,Florida,-34,37,Broward,Florida
12009,Brevard County,Florida,1801,1770,Broward,Florida
12013,Calhoun County,Florida,-22,36,Broward,Florida
12015,Charlotte County,Florida,-377,658,Broward,Florida
12017,Citrus County,Florida,-102,109,Broward,Florida
12019,Clay County,Florida,-729,439,Broward,Florida
12021,Collier County,Florida,-1176,611,Broward,Florida
12023,Columbia County,Florida,-92,92,Broward,Florida
12027,DeSoto County,Florida,10,54,Broward,Florida
12029,Dixie County,Florida,-3,5,Broward,Florida
12031,Duval County,Florida,-490,555,Broward,Florida
12033,Escambia County,Florida,-275,208,Broward,Florida
12035,Flagler County,Florida,12,122,Broward,Florida
12037,Franklin County,Florida,2,38,Broward,Florida
12039,Gadsden County,Florida,-29,46,Broward,Florida
12041,Gilchrist County,Florida,-86,67,Broward,Florida
12043,Glades County,Florida,-12,66,Broward,Florida
12045,Gulf County,Florida,-13,15,Broward,Florida
12047,Hamilton County,Florida,-27,31,Broward,Florida
12049,Hardee County,Florida,-18,28,Broward,Florida
12051,Hendry County,Florida,47,49,Broward,Florida
12053,Hernando County,Florida,-153,112,Broward,Florida
12055,Highlands County,Florida,-129,228,Broward,Florida
12057,Hillsborough County,Florida,-1306,663,Broward,Florida
12059,Holmes County,Florida,15,23,Broward,Florida
12061,Indian River County,Florida,-321,354,Broward,Florida
12063,Jackson County,Florida,-37,57,Broward,Florida
12067,Lafayette County,Florida,-21,24,Broward,Florida
12069,Lake County,Florida,-574,448,Broward,Florida
12071,Lee County,Florida,-685,737,Broward,Florida
12073,Leon County,Florida,-647,435,Broward,Florida
12075,Levy County,Florida,-14,12,Broward,Florida
12077,Liberty County,Florida,-13,19,Broward,Florida
12079,Madison County,Florida,-34,31,Broward,Florida
12081,Manatee County,Florida,43,247,Broward,Florida
12083,Marion County,Florida,-443,286,Broward,Florida
12085,Martin County,Florida,-134,197,Broward,Florida
12086,Miami-Dade County,Florida,13479,2722,Broward,Florida
12087,Monroe County,Florida,368,445,Broward,Florida
12089,Nassau County,Florida,-49,50,Broward,Florida
12091,Okaloosa County,Florida,-38,31,Broward,Florida
12093,Okeechobee County,Florida,-58,48,Broward,Florida
12095,Orange County,Florida,-2236,1054,Broward,Florida
12097,Osceola County,Florida,-112,280,Broward,Florida
12099,Palm Beach County,Florida,-6569,1758,Broward,Florida
12101,Pasco County,Florida,-57,172,Broward,Florida
12103,Pinellas County,Florida,16,429,Broward,Florida
12105,Polk County,Florida,-166,277,Broward,Florida
12107,Putnam County,Florida,-48,83,Broward,Florida
12109,St. Johns County,Florida,-280,290,Broward,Florida
12111,St. Lucie County,Florida,-960,621,Broward,Florida
12113,Santa Rosa County,Florida,-15,57,Broward,Florida
12115,Sarasota County,Florida,-225,350,Broward,Florida
12117,Seminole County,Florida,-416,416,Broward,Florida
12119,Sumter County,Florida,-84,138,Broward,Florida
12121,Suwannee County,Florida,-161,109,Broward,Florida
12123,Taylor County,Florida,-84,62,Broward,Florida
12125,Union County,Florida,-14,30,Broward,Florida
12127,Volusia County,Florida,-310,308,Broward,Florida
12129,Wakulla County,Florida,-12,17,Broward,Florida
12131,Walton County,Florida,1,29,Broward,Florida
12133,Washington County,Florida,30,34,Broward,Florida
12001,Alachua County,Florida,161,171,Escambia,Florida
12003,Baker County,Florida,10,119,Escambia,Florida
12005,Bay County,Florida,373,248,Escambia,Florida
12007,Bradford County,Florida,-30,43,Escambia,Florida
12009,Brevard County,Florida,-64,149,Escambia,Florida
12011,Broward County,Florida,275,208,Escambia,Florida
12013,Calhoun County,Florida,10,18,Escambia,Florida
12015,Charlotte County,Florida,-5,21,Escambia,Florida
12017,Citrus County,Florida,0,9,Escambia,Florida
12019,Clay County,Florida,-1,115,Escambia,Florida
12021,Collier County,Florida,362,279,Escambia,Florida
12023,Columbia County,Florida,0,51,Escambia,Florida
12027,DeSoto County,Florida,-13,30,Escambia,Florida
12029,Dixie County,Florida,27,23,Escambia,Florida
12031,Duval County,Florida,768,621,Escambia,Florida
12035,Flagler County,Florida,-197,130,Escambia,Florida
12037,Franklin County,Florida,3,26,Escambia,Florida
12039,Gadsden County,Florida,-203,128,Escambia,Florida
12041,Gilchrist County,Florida,-10,13,Escambia,Florida
12043,Glades County,Florida,-7,13,Escambia,Florida
12045,Gulf County,Florida,-4,28,Escambia,Florida
12047,Hamilton County,Florida,-21,21,Escambia,Florida
12051,Hendry County,Florida,1,2,Escambia,Florida
12053,Hernando County,Florida,-170,149,Escambia,Florida
12055,Highlands County,Florida,-137,121,Escambia,Florida
12057,Hillsborough County,Florida,-467,302,Escambia,Florida
12059,Holmes County,Florida,84,163,Escambia,Florida
12061,Indian River County,Florida,51,96,Escambia,Florida
12063,Jackson County,Florida,149,148,Escambia,Florida
12067,Lafayette County,Florida,8,25,Escambia,Florida
12069,Lake County,Florida,1,43,Escambia,Florida
12071,Lee County,Florida,26,91,Escambia,Florida
12073,Leon County,Florida,-105,229,Escambia,Florida
12075,Levy County,Florida,-63,94,Escambia,Florida
